Item,D2D,MDU,Vul,Plain
Sym,0.14,0.14,0.14,0.14
CXR,0,1.36,1.36,1.36
Vul,0,0,0.36,0
Xpert,8.04,14.14,10.19,14.14
Tx_Fl,2.42,2.42,2.42,2.42
Tx_Sl,100,100,100,100
