Scale,AvtInc,AvtMor,Yield
1x,1.3% (0.62%-3.5%),2.0% (0.97%-5.1%),0.003 (0.002-0.004)
2x,2.5% (1.23%-6.7%),3.9% (1.93%-9.7%),0.002 (0.002-0.004)
4x,4.9% (2.42%-12.5%),7.5% (3.79%-17.8%),0.002 (0.002-0.003)
